Emma Grace,Fashion,4.8,250000
Liam Patel,Travel,6.2,180000
Olivia Chen,Beauty,8.1,350000
Noah Singh,Fitness,5.5,220000
Ava Garcia,Food,3.7,90000
Elijah Kim,Tech,4.2,120000
Isabella Rossi,Lifestyle,7.6,500000
Lucas Ahmed,Gaming,9.3,800000
Mia Johnson,Parenting,3.9,75000
Sophia Brown,DIY,5,110000
Jackson Lee,Music,6.8,300000
Amelia Davis,Art,4.1,95000
Ethan Wang,Finance,2.9,60000
Harper Lopez,Books,3.5,70000
Mason Kumar,Automotive,4.6,140000
Charlotte Wilson,Sustainability,6,160000
Logan Martinez,Pets,10.2,1050000
Evelyn Park,Photography,7.4,450000
James Stewart,Outdoor,5.9,170000
Abigail Morris,Education,4.3,85000
Benjamin Navarro,Entrepreneurship,6.5,190000
Ella Cooper,Travel,5.7,210000
Henry Hughes,Sports,8.3,320000
Scarlett Rivera,Beauty,9.9,900000
Alexander Torres,Tech,3.8,115000
Grace Murphy,Mindfulness,4.4,98000
Sebastian Flores,Gaming,7.1,410000
Victoria Reed,Fashion,6.9,280000
Daniel Bennett,Music,5.2,130000
Aria Sanders,Health,4.7,150000
Matthew Long,Finance,6.3,200000
Chloe Baker,Food,7.8,520000
Joseph Young,Automotive,4,100000
Natalie Price,DIY,3.6,82000
David Kelly,Fitness,5.6,230000
Zoey Brooks,Books,2.7,55000
Samuel Jenkins,Outdoor,6.1,175000
Lily Rivera,Art,8.4,330000
Wyatt Ross,Sports,7.2,400000
Hannah Powell,Parenting,3.3,65000
